city,zone,season,disruption_freq,infrastructure,is_rural,activity_tier,poverty_score,premium
Pune,low,spring,8,average,False,low,0.81,20
Hyderabad,low,winter,4,average,False,low,0.37,20
Nagpur,medium,summer,8,poor,True,low,0.31,37
Delhi,medium,spring,9,good,False,medium,0.45,24
Hyderabad,low,summer,6,average,False,medium,0.67,20
Patna,critical,summer,12,poor,True,low,0.58,65
Mumbai,critical,spring,12,average,False,high,0.33,50
Mumbai,critical,winter,13,average,False,high,0.35,46
Bengaluru,medium,summer,7,good,False,medium,0.87,28
Patna,critical,monsoon,14,poor,True,medium,0.78,65
Pune,low,spring,8,average,False,low,0.42,20
Chennai,high,spring,8,average,False,medium,0.6,36
Kolkata,high,monsoon,11,poor,False,medium,0.32,50
Delhi,medium,monsoon,9,good,False,medium,0.58,32
Bengaluru,medium,monsoon,7,good,False,high,0.97,37
Hyderabad,low,spring,7,average,False,medium,0.68,20
Nagpur,medium,monsoon,5,poor,True,high,0.4,55
Chennai,high,summer,7,average,False,high,0.44,43
Nagpur,medium,winter,7,poor,True,low,0.79,32
Mumbai,critical,winter,9,average,False,low,0.35,35
Pune,low,monsoon,4,average,False,low,0.9,22
Delhi,medium,summer,10,good,False,low,0.71,25
Kolkata,high,winter,10,poor,False,high,0.57,44
Mumbai,critical,summer,13,average,False,medium,0.47,50
Pune,low,winter,4,average,False,low,0.6,20
Bhubaneswar,high,spring,12,poor,True,low,0.32,46
Pune,low,summer,7,average,False,high,0.66,22
Hyderabad,low,winter,7,average,False,low,0.83,20
Bengaluru,medium,summer,6,good,False,low,0.41,23
Delhi,medium,monsoon,10,good,False,medium,0.74,33
Kolkata,high,spring,11,poor,False,medium,0.92,46
Bhubaneswar,high,winter,11,poor,True,high,0.52,53
Chennai,high,summer,7,average,False,low,0.6,35
Bengaluru,medium,summer,4,good,False,low,0.3,21
Nagpur,medium,winter,5,poor,True,medium,0.46,34
Mumbai,critical,monsoon,12,average,False,low,0.42,50
Nagpur,medium,summer,8,poor,True,high,0.35,47
Bhubaneswar,high,spring,11,poor,True,medium,0.79,54
Mumbai,critical,summer,13,average,False,high,1.0,50
Chennai,high,monsoon,8,average,False,medium,0.32,46
Chennai,high,summer,9,average,False,medium,0.4,39
Bhubaneswar,high,spring,11,poor,True,low,0.83,49
Chennai,high,winter,11,average,False,medium,0.74,34
Chennai,high,summer,10,average,False,low,0.43,35
Mumbai,critical,spring,12,average,False,low,0.45,41
Bhubaneswar,high,winter,10,poor,True,low,0.42,42
Chennai,high,spring,8,average,False,high,0.77,41
Patna,critical,summer,11,poor,True,low,0.68,65
Bhubaneswar,high,winter,11,poor,True,medium,0.99,50
Bengaluru,medium,spring,4,good,False,medium,1.0,26
Hyderabad,low,summer,5,average,False,low,0.54,20
Mumbai,critical,winter,11,average,False,medium,0.85,43
Nagpur,medium,spring,7,poor,True,high,0.41,42
Kolkata,high,spring,11,poor,False,medium,0.31,43
Patna,critical,winter,10,poor,True,high,0.5,65
Delhi,medium,monsoon,8,good,False,high,0.46,35
Chennai,high,spring,7,average,False,medium,0.53,36
Bengaluru,medium,spring,6,good,False,high,0.52,26
Mumbai,critical,monsoon,13,average,False,low,0.92,50
Delhi,medium,summer,6,good,False,low,0.64,24
Hyderabad,low,spring,7,average,False,low,0.7,20
Chennai,high,spring,7,average,False,medium,0.97,38
Hyderabad,low,monsoon,5,average,False,high,0.97,27
Chennai,high,monsoon,11,average,False,low,0.97,45
Chennai,high,spring,11,average,False,high,0.43,40
Chennai,high,spring,9,average,False,medium,0.69,37
Kolkata,high,monsoon,10,poor,False,medium,0.37,50
Kolkata,high,winter,9,poor,False,low,0.66,36
Delhi,medium,monsoon,6,good,False,high,0.4,34
Kolkata,high,spring,12,poor,False,medium,0.87,46
Mumbai,critical,monsoon,9,average,False,high,0.36,50
Pune,low,summer,7,average,False,high,0.44,21
Nagpur,medium,spring,8,poor,True,low,0.54,35
Delhi,medium,monsoon,8,good,False,high,0.41,35
Kolkata,high,monsoon,9,poor,False,medium,0.48,50
Bhubaneswar,high,monsoon,10,poor,True,high,0.67,65
Hyderabad,low,spring,6,average,False,high,0.62,20
Kolkata,high,summer,11,poor,False,medium,0.68,49
Pune,low,spring,7,average,False,high,0.98,22
Bhubaneswar,high,monsoon,10,poor,True,high,0.58,65
Mumbai,critical,spring,10,average,False,low,0.48,40
Bhubaneswar,high,summer,8,poor,True,high,0.34,62
Bhubaneswar,high,summer,9,poor,True,medium,0.37,57
Patna,critical,spring,14,poor,True,high,0.75,65
Pune,low,spring,8,average,False,medium,0.81,20
Mumbai,critical,spring,10,average,False,low,0.83,42
Patna,critical,summer,13,poor,True,high,0.37,65
Bengaluru,medium,summer,7,good,False,medium,0.83,28
Hyderabad,low,winter,6,average,False,high,0.63,20
Hyderabad,low,winter,4,average,False,medium,0.96,20
